model,accuracy,positive precision,negative precision,positive recall,negative recall,positive f_measure,negative f_measure
NaiveBayesClassifier,72.36%,78.29%,74.61%,64.85%,57.84%,70.94%,65.16%
DecisionTreeClassifier,65.44%,75.23%,70.71%,57.74%,44.01%,65.33%,54.25%
BernoulliNB,70.30%,78.15%,67.82%,57.40%,60.32%,66.19%,63.85%
MultinomialNB,71.85%,72.55%,82.32%,72.57%,47.38%,72.56%,60.14%
ComplementNB,71.90%,75.99%,79.30%,68.91%,51.49%,72.28%,62.44%
KNeighborsClassifier,71.96%,77.51%,74.23%,63.76%,57.30%,69.97%,64.68%
RandomForestClassifier,71.60%,76.52%,74.05%,64.03%,55.85%,69.72%,63.67%
LogisticRegression,72.36%,75.23%,79.30%,70.06%,51.88%,72.55%,62.72%
MLPClassifier,72.84%,79.42%,74.99%,65.09%,59.22%,71.55%,66.18%
AdaBoostClassifier,69.58%,76.04%,67.30%,56.89%,58.62%,65.08%,62.66%
