word,occurences
sluggish,44
booking,44
pressure,39
slip,37
widens,32
plunge,28
bearish,26
slump,24
lay,24
cardamom,22
lows,20
worst,19
tanks,19
slumps,18
cautious,17
fails,16
loses,15
scanfil,15
tank,14
tumble,14
nsel,14
unlikely,14
pretax,14
temporarily,13
weaken,12
adequate,12
offtake,12
concern,12
offs,12
weakens,11
soften,11
chana,11
slipped,11
mentha,10
uncertainty,10
faces,10
laid,10
face,9
resistance,9
lose,9
disappoint,9
choppy,9
disappoints,9
oils,9
acc,9
australian,9
scam,9
promoter,8
ample,8
refined,8
soya,8
plummets,8
losing,8
moment,8
slow,8
slams,8
wary,7
voltas,7
lost,7
weaker,7
downtrend,7
avinnash,7
gorakssakar,7
political,7
stockists,7
chilli,7
drags,7
downside,7
cracks,7
fail,7
problems,7
pm,7
senators,7
sharply,6
rouble,6
oversupply,6
softens,6
guargum,6
downgrade,6
coriander,6
slides,6
amtek,6
tumbles,6
sinks,6
arrest,6
sstl,6
mount,6
sink,6
jubilant,6
difficult,6
discount,6
hurts,6
employment,6
cools,5
clearly,5
attack,5
participants,5
bears,5
job,5
default,5
