word,occurences
jumps,100
signed,58
grew,33
expansion,32
awarded,32
beats,28
improved,28
leading,26
improve,24
returns,21
expand,19
bags,18
buys,18
narrowed,18
strengthen,17
zooms,16
approval,15
strategic,14
aim,13
provide,13
right,12
add,12
aims,12
efficient,12
pleased,12
partnership,11
fully,11
upper,10
improving,10
upgrade,10
outperform,10
ensure,10
operators,10
enable,10
aspo,10
platform,10
presence,10
strengthens,9
covering,9
bridge,9
festive,9
acquisitions,9
operator,9
nokian,9
distribution,9
digia,9
areas,9
jumped,9
helps,8
boosts,8
ispat,8
build,8
helped,8
berger,8
decent,8
expands,8
perspective,8
opportunities,8
cadila,8
operational,8
model,8
lithuanian,8
structure,8
partner,8
established,8
develop,8
center,8
poyry,8
sintex,7
atul,7
95,7
speculation,7
dhfl,7
jyothy,7
deewan,7
welcome,7
basis,7
profitable,7
brands,7
bought,7
generation,7
selected,7
approved,7
planning,7
lifting,7
machine,7
stainless,7
digital,7
processes,7
00,7
application,7
started,7
sysopen,7
expertise,7
happy,7
story,6
welspun,6
led,6
enter,6
interesting,6
