word,occurences
jumps,100
signed,58
soars,43
grew,33
expansion,32
awarded,32
jump,31
beats,28
improved,28
leading,26
improve,24
returns,21
expand,19
bags,18
buys,18
narrowed,18
strengthen,17
zooms,16
climbs,16
pretax,16
approval,15
avinnash,14
gorakssakar,14
strategic,14
aim,13
provide,13
right,12
soar,12
add,12
aims,12
efficient,12
pleased,12
partnership,11
fully,11
upper,10
stk,10
improving,10
upgrade,10
outperform,10
ensure,10
operators,10
enable,10
aspo,10
platform,10
diluted,10
presence,10
strengthens,9
covering,9
uptrend,9
bridge,9
festive,9
acquisitions,9
usfda,9
vysya,9
operator,9
nokian,9
distribution,9
digia,9
areas,9
jumped,9
havells,8
voltas,8
favourable,8
helps,8
boosts,8
mastek,8
ispat,8
build,8
helped,8
amara,8
raja,8
berger,8
decent,8
tandon,8
expands,8
eicher,8
perspective,8
opportunities,8
cadila,8
operational,8
model,8
lithuanian,8
structure,8
ebit,8
partner,8
established,8
develop,8
center,8
poyry,8
sintex,7
refined,7
polaris,7
persistent,7
jeera,7
groundnut,7
buyers,7
atul,7
batteries,7
95,7
speculation,7
dhfl,7
jyothy,7
soya,7
karur,7
skf,7
112,7
deewan,7
welcome,7
basis,7
profitable,7
brands,7
bought,7
generation,7
selected,7
approved,7
planning,7
lifting,7
machine,7
stainless,7
digital,7
processes,7
00,7
application,7
started,7
sysopen,7
expertise,7
happy,7
swung,7
story,6
welspun,6
led,6
texmaco,6
rebounds,6
renewed,6
enter,6
interesting,6
oils,6
cmc,6
gainer,6
yr,6
suven,6
fy11,6
yoy,6
kansai,6
nerolac,6
lifetime,6
solar,6
climb,6
radio,6
smart,6
benefits,6
jagran,6
prakashan,6
creating,6
venture,6
doubled,6
e,6
integrated,6
opened,6
lithuania,6
rental,6
escalators,6
vacon,6
panostaja,6
representative,6
deliveries,6
kazakhstan,6
expanding,6
locations,6
invoice,6
consensus,6
manager,6
location,6
recommendation,6
aimed,6
juha,6
praj,5
cooling,5
advance,5
macros,5
rcomm,5
raymond,5
licence,5
shape,5
pepper,5
mmtc,5
listing,5
bodke,5
igate,5
hpcl,5
zoom,5
goodyear,5
gcpl,5
gammon,5
gail,5
strongest,5
dishman,5
debuts,5
players,5
ride,5
suri,5
bigger,5
becomes,5
pack,5
stable,5
nyse,5
mercator,5
smartphone,5
gajendra,5
nagpal,5
strides,5
logs,5
dhiraj,5
alembic,5
recast,5
turmeric,5
101,5
hsil,5
kajaria,5
monnet,5
preferred,5
integration,5
radico,5
khaitan,5
sobha,5
jv,5
ajanta,5
pump,5
136,5
lab,5
fertilizer,5
uflex,5
mobility,5
opto,5
circuits,5
businesses,5
lap,5
trust,5
confidence,5
wide,5
offered,5
plus,5
supports,5
cable,5
engines,5
bringing,5
eur13,5
brazilian,5
online,5
telko,5
delivered,5
eur15,5
andrew,5
latin,5
install,5
devices,5
satama,5
produce,5
realized,5
stated,5
located,5
enables,5
denmark,5
transfer,5
lindex,5
upgraded,5
agreements,5
complete,5
competitiveness,5
include,5
innovative,5
actions,5
navigation,5
installed,5
entered,5
proud,5
delighted,5
traction,4
lost,4
torrent,4
optimistic,4
symphony,4
uae,4
nbfcs,4
snowman,4
appreciation,4
procurement,4
rec,4
ramco,4
railways,4
shine,4
230,4
seems,4
poised,4
mentha,4
manappuram,4
kirloskar,4
jyoti,4
favour,4
shines,4
ifc,4
hcc,4
gateway,4
dewan,4
deutsche,4
dabur,4
wave,4
chana,4
caustic,4
soda,4
cardamom,4
108,4
bob,4
ashit,4
airbus,4
chilli,4
comfortable,4
spurts,4
138,4
oracle,4
rain,4
map,4
lakshmi,4
satyam,4
amtek,4
rupiah,4
scales,4
science,4
cesc,4
fixing,4
rallying,4
coriander,4
escorts,4
completion,4
shoots,4
vijai,4
mantri,4
telecoms,4
sjvn,4
smallcap,4
somany,4
phase,4
returned,4
159,4
jbm,4
upbeat,4
motherson,4
sumi,4
novartis,4
renuka,4
bulls,4
basf,4
cabinet,4
upgrades,4
cheer,4
visibility,4
142,4
clean,4
stellar,4
consistent,4
natco,4
nda,4
success,4
leverage,4
365,4
centre,4
branded,4
ambani,4
bearing,4
course,4
join,4
trims,4
uptick,4
predict,4
srf,4
consider,4
mfs,4
marine,4
shalimar,4
venus,4
remedies,4
lease,4
arm,4
proposed,4
size,4
gained,4
handsets,4
measured,4
framework,4
handset,4
meanwhile,4
designed,4
strengthened,4
litres,4
fishing,4
kci,4
preliminary,4
installation,4
grown,4
grain,4
developed,4
tekla,4
fleet,4
wireless,4
capabilities,4
gypsii,4
built,4
lining,4
romania,4
serve,4
controls,4
disposal,4
whereby,4
acquiring,4
beijing,4
owner,4
garden,4
clearly,4
pacific,4
successfully,4
kari,4
vietnam,4
qpr,4
exclusive,4
combining,4
functionality,4
anticipates,4
example,4
boosted,4
grinding,4
acquired,4
recycling,4
shalkiya,4
capability,4
producing,4
unnamed,4
recognized,4
represents,4
wartsila,4
competitors,4
secretary,4
chosen,4
milestone,4
memorandum,4
introduced,4
eurochem,4
understanding,4
modern,4
lee,4
maps,4
contribute,4
lawmakers,4
mike,4
offtake,3
vrl,3
ideal,3
ck,3
narayan,3
hemen,3
kapadia,3
nos,3
triggers,3
excellent,3
rashtriya,3
1200,3
rohit,3
shinde,3
surprises,3
turning,3
apparel,3
kitex,3
flies,3
144,3
tremendous,3
reasonably,3
status,3
indusind,3
swift,3
indraprastha,3
igl,3
hmt,3
hind,3
fortunes,3
pe,3
guarseed,3
gsfc,3
creates,3
outperforms,3
shire,3
millers,3
cvs,3
chambal,3
castorseed,3
bounces,3
losing,3
109,3
component,3
apl,3
ambuja,3
drugs,3
spurt,3
jewellers,3
tube,3
hnis,3
sharmila,3
castrol,3
ccl,3
orient,3
afloat,3
easily,3
israel,3
movement,3
preferential,3
310,3
giant,3
pratibha,3
8200,3
rouble,3
jokowi,3
clears,3
electrification,3
payrolls,3
vodafone,3
bumper,3
sachdev,3
akzo,3
draw,3
pares,3
reap,3
daljeet,3
kohli,3
godrej,3
dividends,3
spree,3
marks,3
maggi,3
irrigation,3
mt,3
liberty,3
shoes,3
sign,3
taher,3
badshah,3
lows,3
pantaloon,3
fy10,3
125,3
dark,3
horse,3
truly,3
soaring,3
157,3
326,3
ashwanigujral,3
dhanuka,3
agritech,3
bottom,3
262,3
ipca,3
nfl,3
oberoi,3
jeweller,3
sugars,3
repeated,3
riding,3
sanofi,3
diversified,3
tv18,3
uco,3
places,3
aarti,3
acc,3
generic,3
275,3
fitch,3
divis,3
bel,3
pare,3
irb,3
flowing,3
chips,3
shree,3
fee,3
114,3
slow,3
request,3
7000,3
prop,3
offerings,3
southeast,3
124,3
meets,3
211,3
anil,3
camlin,3
indigo,3
individual,3
pezarkar,3
wonderla,3
fipb,3
sh,3
fastest,3
impressive,3
cloud,3
mou,3
defensive,3
multimedia,3
nhai,3
leisure,3
steadily,3
sound,3
wary,3
miles,3
clarification,3
positioned,3
exide,3
australian,3
techno,3
unichem,3
farm,3
clsa,3
fix,3
fy13,3
airport,3
pact,3
nucleus,3
african,3
unique,3
dynamic,3
534,3
regarding,3
metro,3
manufacture,3
blackstone,3
newly,3
printed,3
eur7m,3
eesti,3
groups,3
sepp,3
prior,3
paid,3
park,3
eur20,3
